Recipe_title,url,Carbohydrates,Energy,Protein,Fats,vegan,pescetarian,lacto_vegetarian,non_vegetarian,Region
Lamb Chops in Lemongrass Ginger Coconut Sauce,http://www.geniuskitchen.com/recipe/lamb-chops-in-lemongrass-ginger-coconut-sauce-491894,15.0417,682.7975,4.3178,70.4832,0,0,0,1,Indian Subcontinent
Fried Sweet Bananas,http://allrecipes.com/recipe/244416/fried-sweet-bananas/,111.7655,643.5,8.0145,21.6,0,0,0,1,South American
Great American Volumetric Burger,http://www.geniuskitchen.com/recipe/great-american-volumetric-burger-295710,66.1277,854.2886,82.1098,29.2246,0,0,0,1,Central American
Cabbage and Mince Kebabs,http://www.geniuskitchen.com/recipe/cabbage-and-mince-kebabs-183060,19.5627,650.2833,100.8612,16.5287,0,0,0,1,Indian Subcontinent
Almond Bread (Cookie-Biscotti),http://www.geniuskitchen.com/recipe/almond-bread-cookie-biscotti-278332,0.7227,847.08,10.791,90.1683,0,0,0,1,Australian
Tortilla Tapas,http://www.geniuskitchen.com/recipe/tortilla-tapas-193818,16.17,847.02,39.33,69.18,0,0,0,1,Spanish and Portuguese
Roasted Smashed Potatoes,http://www.geniuskitchen.com/recipe/roasted-smashed-potatoes-446397,1.4708,721.813,0.239,81.075,1,1,0,0,Canadian
California Fish Tacos With Dry-Roasted Peppers and Mango,http://www.geniuskitchen.com/recipe/california-fish-tacos-with-dry-roasted-peppers-and-mango-141538,40.5588,716.111,78.4221,26.7893,0,0,0,1,Mexican
Bulgur Pesto Timbales,http://www.geniuskitchen.com/recipe/bulgur-pesto-timbales-153527,38.6116,821.0855,35.2028,60.493,0,0,0,1,Greek
"Beef, Potato & Pepper Skillet",http://www.geniuskitchen.com/recipe/beef-potato-pepper-skillet-21575,116.0812,854.8,10.13,39.1324,0,0,0,1,South American
Caraway Burgers,http://www.geniuskitchen.com/recipe/caraway-burgers-8046,9.9903,840.458,158.2313,18.6971,0,0,0,1,South American
Escargots Gratinés,http://www.geniuskitchen.com/recipe/escargots-gratin-s-337715,32.42,718.1,29.184,57.6,0,0,0,1,Canadian
Saskatoon Berry Pie,http://www.geniuskitchen.com/recipe/saskatoon-berry-pie-390726,166.5017,667.6817,0.0772,0.0324,0,0,0,1,Canadian
Easy Moroccan Chicken,http://www.geniuskitchen.com/recipe/easy-moroccan-chicken-69028,139.4452,633.1875,17.5329,9.1393,0,0,0,1,Northern Africa
Thai Chicken,http://www.geniuskitchen.com/recipe/thai-chicken-69516,23.2092,603.3625,26.4077,50.3067,0,0,0,1,Thai
Spanish Wings,http://www.geniuskitchen.com/recipe/spanish-wings-483759,9.3488,847.6392,180.3981,5.2823,0,0,0,1,Spanish and Portuguese
Spaghetti Alla Caruso ( Tenor Spaghetti ),http://www.geniuskitchen.com/recipe/spaghetti-alla-caruso-tenor-spaghetti-351920,28.1249,890.0241,108.3421,37.5684,0,0,0,1,Italian
Outrageous Egg-Free New Zealand Mayonnaise,http://www.geniuskitchen.com/recipe/outrageous-egg-free-new-zealand-mayonnaise-181666,22.1567,877.7762,8.2399,85.7811,0,0,1,0,Australian
Shark Ambotik-Authentic Goan Spicy and Sour Seafood Cuisine,http://www.geniuskitchen.com/recipe/shark-ambotik-authentic-goan-spicy-and-sour-seafood-cuisine-479087,21.7053,896.2545,114.3709,36.0699,0,0,0,1,Indian Subcontinent
Exotic Brinjal (Spicy Eggplant),http://allrecipes.com/recipe/174026/exotic-brinjal-spicy-eggplant/,61.1022,763.8891,11.2708,58.856,1,1,0,0,Indian Subcontinent
Russian Eggplant,http://www.geniuskitchen.com/recipe/russian-eggplant-334031,66.8504,804.7982,15.6437,57.1135,0,0,0,1,Eastern European
Pasta and Bean Soup,http://www.geniuskitchen.com/recipe/pasta-and-bean-soup-110537,90.2251,712.6876,60.8462,12.844,0,0,0,1,Italian
Cheesy Pizza Dip,http://allrecipes.com/recipe/23944/cheesy-pizza-dip/,35.4305,604.758,11.5845,47.6161,0,0,1,0,Italian
Weeknight Beef Stroganoff,http://www.geniuskitchen.com/recipe/weeknight-beef-stroganoff-360054,26.7815,777.2603,62.2167,47.0942,0,0,0,1,South American
Spiced Pears and Pomegranate,http://allrecipes.com/recipe/56148/spiced-pears-and-pomegranate/,115.4836,698.9105,4.5249,30.0601,1,1,0,0,Australian
Steamed Tofu With Fiery Sauce,http://www.geniuskitchen.com/recipe/steamed-tofu-with-fiery-sauce-347983,16.6807,640.1518,47.4112,48.69,1,1,0,0,Chinese and Mongolian
Super Thin Pizza Crust,http://www.geniuskitchen.com/recipe/super-thin-pizza-crust-37880,0.6126,735.0767,56.8164,55.4437,0,0,0,1,Italian
Lemon and Onion Marinated Beef,http://www.geniuskitchen.com/recipe/lemon-and-onion-marinated-beef-424282,10.274,601.6013,99.3116,18.6514,0,0,0,1,South American
Easy Swedish Pancakes,http://allrecipes.com/recipe/52581/easy-swedish-pancakes/,46.3958,809.742,45.835,49.3776,0,0,0,1,US
Ron's Favorite Alfredo Sauce,http://www.geniuskitchen.com/recipe/rons-favorite-alfredo-sauce-21996,19.002,750,14.094,72.096,0,0,0,1,Italian
"Tuna, Canary Islands Style",http://www.geniuskitchen.com/recipe/tuna-canary-islands-style-483088,6.9955,666.526,1.3412,72.6811,0,0,0,1,Spanish and Portuguese
Vada Pav - the Indian Burger,http://www.geniuskitchen.com/recipe/vada-pav-the-indian-burger-497071,24.8138,642.5965,9.5603,60.281,0,0,0,1,Indian Subcontinent
Spaghetti with homemade pasta sauce.,http://www.geniuskitchen.com/recipe/spaghetti-with-homemade-pasta-sauce-25565,35.3097,629.677,7.8466,55.0509,0,0,0,1,Italian
Slow Cooker Chili Con Carne (kid-friendly),http://www.geniuskitchen.com/recipe/slow-cooker-chili-con-carne-kid-friendly-122709,57.6463,824.6691,126.179,16.5644,0,0,0,1,Mexican
Calamaretti in Zimino Con Polenta Alla Griglia,http://www.geniuskitchen.com/recipe/calamaretti-in-zimino-con-polenta-alla-griglia-395224,56.409,890.5,78.003,48.496,0,0,0,1,Italian
New Allison's Mambo Margaritas,http://www.geniuskitchen.com/recipe/new-allisons-mambo-margaritas-116195,85.3546,853.7141,68.3406,2.0402,1,1,0,0,Mexican
Kittencal's Mediterranean-Style Taverna Chopped Greek Salad,http://www.geniuskitchen.com/recipe/kittencals-mediterranean-style-taverna-chopped-greek-salad-238190,23.2909,653.2,34.0945,48.1788,0,0,1,0,Greek
Sauteed Garlic Scapes (Or Green Beans)With Red Pepper & Almonds,http://www.geniuskitchen.com/recipe/sauteed-garlic-scapes-or-green-beans-with-red-pepper-almonds-89712,6.9752,673.8165,1.4622,73.0154,1,1,0,0,Canadian
Shredded Chile Beef,http://www.geniuskitchen.com/recipe/shredded-chile-beef-311890,69.0726,884.3427,110.1172,20.1524,0,0,0,1,South American
Cabbage Salad ( Mexican Coleslaw ),http://www.geniuskitchen.com/recipe/cabbage-salad-mexican-coleslaw-119572,147.1414,752.415,25.8498,16.1998,1,1,0,0,Mexican
Scones,http://www.geniuskitchen.com/recipe/scones-230127,116.7497,708.83,16.6375,19.9338,0,0,0,1,UK
Okinawa Sweetened Taro Roots,http://www.geniuskitchen.com/recipe/okinawa-sweetened-taro-roots-531449,52.3632,689.245,100.3358,6.1,0,0,0,1,Japanese
Italian-Cheddar Biscuits,http://www.geniuskitchen.com/recipe/italian-cheddar-biscuits-24714,3.3792,652.6646,40.6538,52.694,0,0,0,1,Italian
Scott's Buffalo Wing Sauce,http://allrecipes.com/recipe/180745/scotts-buffalo-wing-sauce/,31.428,684,21.372,57.6,0,0,1,0,US
Marinated Mushrooms,http://www.geniuskitchen.com/recipe/marinated-mushrooms-59783,47.9142,830.8101,13.9846,68.9131,0,0,0,1,Greek
Zuppa Inglese,http://allrecipes.com/recipe/17175/zuppa-inglese/,96.1702,890.703,0,57.293,0,0,0,1,Italian
Curried Parsnip Soup,http://www.geniuskitchen.com/recipe/curried-parsnip-soup-292366,85.9092,719.089,10.7591,40.3921,0,0,0,1,Canadian
Jalapeno Pepper and Herb Cheese Mousse,http://www.geniuskitchen.com/recipe/jalapeno-pepper-and-herb-cheese-mousse-235554,13.2166,618.7725,15.7679,58.0905,0,0,1,0,Mexican
Easy Carbonara Sauce,http://allrecipes.com/recipe/231043/easy-carbonara-sauce/,18.9973,781.9693,23.6568,67.704,0,0,0,1,Italian
Chicken With Creamy White Wine Sauce and Tagliatelli,http://www.geniuskitchen.com/recipe/chicken-with-creamy-white-wine-sauce-and-tagliatelli-238080,20.8619,609.8367,12.4497,54.6823,0,0,0,1,Italian
Bahama-Mama Pork Chops or Chicken,http://www.geniuskitchen.com/recipe/bahama-mama-pork-chops-or-chicken-35939,177.4277,831.3441,7.9154,14.7703,0,0,0,1,Caribbean
Gluehwein,http://allrecipes.com/recipe/140472/gluehwein/,175.4506,678.6192,1.9774,3.5794,1,1,0,0,Deutschland
Italian Oven Potatoes,http://www.geniuskitchen.com/recipe/italian-oven-potatoes-382185,39.42,765.6,21.684,62.944,0,0,1,0,Italian
Bavarian Kohlrabi Soup,http://allrecipes.com/recipe/223033/bavarian-kohlrabi-soup/,65.1645,861.4378,95.7753,24.075,0,0,0,1,Deutschland
Tomatoes Stuffed With Rice,http://www.geniuskitchen.com/recipe/tomatoes-stuffed-with-rice-195453,51.4706,752.39,17.8004,57.199,0,0,1,0,Italian
Vareniky,http://www.geniuskitchen.com/recipe/vareniky-60146,36.6328,864.0076,118.9658,24.1892,0,0,0,1,Eastern European
Brewing Beer Recipe,http://www.geniuskitchen.com/recipe/brewing-beer-recipe-531921,159.365,678.485,9.552,0.36,1,1,0,0,Irish
Yorkshire Buck,http://www.geniuskitchen.com/recipe/yorkshire-buck-391875,40.4314,651.2981,53.0119,32.3152,0,0,0,1,UK
Alan's Quiche,http://www.geniuskitchen.com/recipe/alans-quiche-397343,14.0465,850.3932,61.1269,60.1404,0,0,0,1,French
Sage Roast Beef With Merlot Sauce,http://www.geniuskitchen.com/recipe/sage-roast-beef-with-merlot-sauce-112178,21.1679,832.861,108.8008,33.22,0,0,0,1,French
Cereal Bircher-Benner Style (Birchermusli),http://www.geniuskitchen.com/recipe/cereal-bircher-benner-style-birchermusli-458043,238.2861,898.33,34.745,13.7291,0,0,1,0,Deutschland
Thai Sweet Potato and Leek Soup,http://www.geniuskitchen.com/recipe/thai-sweet-potato-and-leek-soup-205357,52.9708,695.4607,9.682,54.776,1,1,0,0,Thai
Cool Jazz and Hot to Trot South American Chimichurri Steak!,http://www.geniuskitchen.com/recipe/cool-jazz-and-hot-to-trot-south-american-chimichurri-steak-294838,2.9283,835.0075,99.8383,47.095,0,0,0,1,Central American
Good Eats Indian Summer Soup,http://www.geniuskitchen.com/recipe/good-eats-indian-summer-soup-86332,111.4419,753.2647,20.2095,26.4905,0,0,0,1,Indian Subcontinent
Roasted Brussels Sprouts,http://allrecipes.com/recipe/67952/roasted-brussels-sprouts/,61.6302,653.4739,23.1167,42.5787,1,1,0,0,US
Tre's Beef Egg Rolls,http://www.geniuskitchen.com/recipe/tres-beef-egg-rolls-312951,32.968,678.6112,110.0463,13.6324,0,0,0,1,South American
Slow-Cooked Carnitas Tacos,http://www.geniuskitchen.com/recipe/slow-cooked-carnitas-tacos-295197,11.3251,853.7812,181.0033,4.8439,0,0,0,1,Mexican
Crock Pot Fat Free Refried Beans for the Freezer - OAMC,http://www.geniuskitchen.com/recipe/crock-pot-fat-free-refried-beans-for-the-freezer-oamc-107760,34.3521,609.2406,97.2688,7.9824,0,0,0,1,Mexican
Mum's Beef or Chicken Casserole,http://www.geniuskitchen.com/recipe/mums-beef-or-chicken-casserole-181980,50.7462,851.165,117.2639,18.1788,0,0,0,1,South American
Green Beans With Tomatoes and Feta Cheese(Fasolakia Me Domata Ka,http://www.geniuskitchen.com/recipe/green-beans-with-tomatoes-and-feta-cheese-fasolakia-me-domata-ka-423970,45.4797,765.2546,54.499,42.9423,0,0,1,0,Greek
Italian BLT Chicken Salad,http://www.geniuskitchen.com/recipe/italian-blt-chicken-salad-224199,61.5805,832.5195,21.018,55.5861,0,0,0,1,Italian
Baked Butterfish Saratoga,http://allrecipes.com/recipe/63289/baked-butterfish-saratoga/,12.8486,793.1702,140.4564,18.0115,0,0,0,1,US
Beef and Mushroom Stir-Fry Korean Style,http://www.geniuskitchen.com/recipe/beef-and-mushroom-stir-fry-korean-style-321227,21.6908,624.3089,59.0383,34.3511,0,0,0,1,Chinese and Mongolian
Mustard Sauce for Corned Beef & Cabbage,http://www.geniuskitchen.com/recipe/mustard-sauce-for-corned-beef-cabbage-86657,97.7153,646.495,13.0532,20.9046,0,0,0,1,Irish
Chao Nian Gao (Shanghai Stir-Fried Rice Cakes),http://www.geniuskitchen.com/recipe/chao-nian-gao-shanghai-stir-fried-rice-cakes-514184,90.0882,868.5459,18.272,51.3987,0,0,0,1,Chinese and Mongolian
Pasta Alla Amatriciana,http://www.geniuskitchen.com/recipe/pasta-alla-amatriciana-200729,33.1492,606.8373,19.5858,45.3341,0,0,0,1,Italian
Fresh Strawberries and Balsamic Vinegar Ice Cream Parfaits,http://www.geniuskitchen.com/recipe/fresh-strawberries-and-balsamic-vinegar-ice-cream-parfaits-221615,99.1219,626.34,9.7237,22.056,0,0,0,1,French
Creamy Swiss Chard and Pasta,http://www.geniuskitchen.com/recipe/creamy-swiss-chard-and-pasta-309381,22.6856,651.3869,59.006,37.4547,0,0,1,0,Deutschland
Seared Scallops With Champagne Saffron Sauce,http://www.geniuskitchen.com/recipe/seared-scallops-with-champagne-saffron-sauce-278497,20.0298,852.6404,14.9703,82.9266,0,0,0,1,French
Zucchini and Eggs,http://www.geniuskitchen.com/recipe/zucchini-and-eggs-318022,15.2732,607.353,40.3214,42.391,0,0,0,1,Greek
Mexican Style Bulgur,http://www.geniuskitchen.com/recipe/mexican-style-bulgur-35152,75.5219,645.0108,16.3017,32.3953,0,0,0,1,Mexican
Pintxo De Gamba Al Ajillo (Shrimp Skewers With Garlic),http://www.geniuskitchen.com/recipe/pintxo-de-gamba-al-ajillo-shrimp-skewers-with-garlic-269471,0.0791,679.5438,44.9172,55.1432,0,0,0,1,Spanish and Portuguese
Teriyaki Walnuts,http://www.geniuskitchen.com/recipe/teriyaki-walnuts-49873,42.5568,643.793,14.3329,49.3903,1,1,0,0,Japanese
Corn Tortillas,http://www.geniuskitchen.com/recipe/corn-tortillas-81726,174.6252,827.64,19.2888,8.4132,0,0,0,1,Mexican
Meatballs in Sour Cream Sauce over Egg Noodles (Made Easy),http://www.geniuskitchen.com/recipe/meatballs-in-sour-cream-sauce-over-egg-noodles-made-easy-494841,62.4747,793.7694,17.6582,54.2236,0,0,0,1,Scandinavian
Chilean Tortilla,http://www.geniuskitchen.com/recipe/chilean-tortilla-474419,28.7754,714.308,26.695,56.8252,0,0,0,1,South American
Venezuelan Scrambled Eggs - Perico Venezolano,http://www.geniuskitchen.com/recipe/venezuelan-scrambled-eggs-perico-venezolano-456610,36.4672,806.6158,43.8249,55.0805,0,0,0,1,South American
Stracciatelli (Italian Rag Soup),http://www.geniuskitchen.com/recipe/stracciatelli-italian-rag-soup-192842,28.42,831.22,101.6704,31.9898,0,0,0,1,Italian
Cheryl's own mushroom caps,http://www.geniuskitchen.com/recipe/cheryls-own-mushroom-caps-27651,18.8506,627.725,11,58.9264,0,0,0,1,Canadian
Railway Potatoes,http://www.geniuskitchen.com/recipe/railway-potatoes-385618,0.7845,626.22,0.3334,70.3868,1,1,0,0,Indian Subcontinent
Citrus Butter Sauce,http://www.geniuskitchen.com/recipe/citrus-butter-sauce-372972,51.9194,710.622,17.147,52.458,0,0,0,1,Caribbean
Pollo Al Diablo,http://www.geniuskitchen.com/recipe/pollo-al-diablo-143917,17.8499,698.3453,18.3378,62.8238,0,0,0,1,Spanish and Portuguese
Sweet Potato Puffs,http://www.geniuskitchen.com/recipe/sweet-potato-puffs-16663,182.9042,889.8823,27.0993,7.6577,0,0,0,1,Canadian
Veal Blanquette,http://www.geniuskitchen.com/recipe/veal-blanquette-308358,51.9185,789.5,30.5395,54.134,0,0,0,1,French
Chipotle-Corn Salad,http://www.geniuskitchen.com/recipe/chipotle-corn-salad-130495,146.5732,710.5825,26.2501,14.6427,0,0,1,0,Mexican
Chili Poached Eggs,http://www.geniuskitchen.com/recipe/chili-poached-eggs-474264,19.6304,647.5515,52.5504,38.8194,0,0,0,1,Mexican
Peas Please,http://www.geniuskitchen.com/recipe/peas-please-42810,112.0702,849.9088,32.1294,33.3419,0,0,0,1,Canadian
Japanese Udon Noodle Soup,http://www.geniuskitchen.com/recipe/japanese-udon-noodle-soup-457845,79.0378,742.48,50.6546,23.3792,0,0,0,1,Japanese
Anko Manju,http://www.geniuskitchen.com/recipe/anko-manju-145594,148.0116,641.834,8.4255,0.8836,0,0,0,1,Japanese
Shape Magazine's Roasted Veggie Enchiladas,http://www.geniuskitchen.com/recipe/shape-magazines-roasted-veggie-enchiladas-138377,56.8396,645.4749,60.406,21.9691,0,0,0,1,Mexican
